,obs,cora,era5,d_cora,d_era5
2012-10-31 11:50:00,2.34,2.5283124,1.84638,0.1883124446868898,-0.4936200046539305
2012-10-31 12:50:00,2.31,2.4747493,1.8188183,0.16474932670593256,-0.49118166923522955
2012-10-31 13:50:00,2.31,2.4268062,1.8088701,0.11680621147155756,-0.5011299228668213
2012-10-31 14:50:00,2.32,2.3815536,1.8032761,0.06155364990234391,-0.5167239379882811
2012-10-31 15:50:00,2.21,2.3422365,1.798196,0.13223651885986332,-0.41180404186248776
2012-10-31 16:50:00,2.08,2.3157458,1.7938062,0.2357458305358886,-0.28619380474090583
2012-10-31 17:50:00,2.25,2.3020456,1.7873278,0.052045583724975586,-0.46267223358154297
2012-10-31 18:50:00,1.93,2.2922695,1.7789425,0.3622694683074952,-0.1510575342178344
2012-10-31 19:50:00,2.06,2.274942,1.7605684,0.2149419212341308,-0.2994316196441651
2012-10-31 20:50:00,1.91,2.2564988,1.7355117,0.34649881362915047,-0.17448833942413322
2012-10-31 21:50:00,1.86,2.2348702,1.7045075,0.37487019538879385,-0.1554925298690797
2012-10-31 22:50:00,1.74,2.214439,1.685845,0.47443891525268556,-0.05415498256683349
2012-10-31 23:50:00,1.7,2.1945288,1.6831794,0.4945288181304932,-0.01682062149047847
