hwm_id,obs,quality,wse_spread_p90_p10,res_max,res_median,res_nearest,hwm_type,hcollect,waterbody
6132,3.81,2.0,0.1264350414276123,-0.143824634552002,-0.4861207580566407,-0.518319902420044,Seed line,Map (digital or paper),
6133,1.554,3.0,0.43608808517456055,1.9298871955871582,1.4293297729492187,1.3724101982116699,Seed line,Map (digital or paper),
6134,3.414,3.0,,,,,Debris,Map (digital or paper),
6111,4.145,1.0,0.24330711364746094,0.23283050537109418,-0.1836099815368648,-0.18366028785705524,Seed line,Map (digital or paper),
6112,4.054,1.0,0.11683511734008789,-0.2945772209167483,-0.45312223815917996,-0.41872749710083035,Seed line,Map (digital or paper),
6114,4.145,1.0,0.1163482666015625,-0.5483772945404048,-0.734783668518066,-0.8347039413452144,Seed line,Map (digital or paper),
6131,2.865,4.0,0.1827249526977539,0.9160349464416502,0.31723285675048807,0.2870442962646482,Debris,Map (digital or paper),
6150,3.078,2.0,0.18572139739990234,0.6848829479217531,-0.21178977775573715,-0.10228817749023422,Mud,Map (digital or paper),
6177,2.225,3.0,0.20887219905853271,0.2880443572998046,-0.3610286474227906,-0.6034097433090211,Seed line,Map (digital or paper),
6098,3.932,2.0,0.6519148349761963,-0.21150978279113763,-0.8013480491638183,-0.9452746696472167,Debris,Map (digital or paper),
6113,3.993,3.0,0.6519148349761963,-0.2725097827911376,-0.8623480491638182,-1.0062746696472167,Debris,Map (digital or paper),
6119,5.304,3.0,0.37320590019226074,-0.4203706779479983,-1.3890651264190677,-1.4013722934722903,Debris,Map (digital or paper),
6120,4.45,4.0,0.5523350238800049,1.015161323547363,-0.3986298561096193,-0.10463352203369158,Debris,Map (digital or paper),
6125,3.383,4.0,0.10806441307067871,-0.09291706848144532,-0.17559252548217774,-0.2048505382537842,Debris,Map (digital or paper),
6138,3.231,2.0,0.19565343856811523,0.5350458087921144,-0.24111753082275378,-0.24294238662719714,Seed line,Map (digital or paper),
6151,3.566,4.0,0.14998173713684082,0.06929753684997575,-0.30521537399291976,-0.36071182823181136,Debris,Map (digital or paper),
6130,2.743,2.0,0.28191280364990234,0.7523501224517823,-0.1791431598663329,-0.11781236457824695,Debris,Map (digital or paper),
6161,4.084,2.0,0.7011072635650635,0.043407073974609744,-0.7615512695312496,-0.29734934234619104,Seed line,Map (digital or paper),
6179,1.829,4.0,0.3596426248550415,0.7120265922546387,0.2032370529174805,-0.05980182075500484,Debris,Phone/Car GPS,
6190,2.134,4.0,0.1504899263381958,0.28530413246154795,-0.17551427745819081,-0.3348392810821532,Debris,Map (digital or paper),
6116,3.962,2.0,0.14536190032958984,-0.20427070808410663,-0.6348401184082033,-0.625827180862427,Debris,Map (digital or paper),
6117,3.505,3.0,0.47988224029541016,-0.1477326202392577,-0.39776814460754384,-0.3106185245513915,Debris,Map (digital or paper),
6118,5.791,3.0,,,,,Debris,Map (digital or paper),
6121,4.176,2.0,0.2591376304626465,0.7682005157470702,0.07039511108398422,0.19385969543457016,Debris,Map (digital or paper),
6126,3.627,3.0,0.4286201000213623,0.00044665145874045464,-0.4448143501281736,-0.5790535469055174,Debris,Map (digital or paper),
